CASE_NUMBER,GENDER,MIN_AGE,MAX_AGE,ETHNICITY,HEIGHT_CM,BUILD,DATE_FOUND,ESTIMATED_DEATH,BODY_OR_REMAINS,HAIR,FACIAL_HAIR,EYE_COLOUR,DISTINGUISHING_FEATURES,CLOTHING,POSSESSIONS,CIRCUMSTANCES,JEWELLERY,KNOWN_NOT_TO_BE
03-000027,male,18,30,white european,168,,2003-02-22,,body,unknown,full beard,unknown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'SURGICAL', 'LOCATION': 'LEFT ABDOMEN', 'DESCRIPTION': 'POSSIBLE HERNIA'}}",,,body found in a skip. male had previously been seen in the area and believed to be a vagrant.,,
08-035834,male,18,30,white european,170,,2003-01-10,2000-01-01,body,grey - collar length,,unknown,"{'FEATURE_1': {'CATEGORY': 'LACKING', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'TEETH', 'DESCRIPTION': 'LARGE NUMBER OF TEETH MISSING. TEETH REMAINING IN POOR WORN DOWN CONDITION'}, 'FEATURE_2': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT ARM', 'DESCRIPTION': 'LARGE BONY GROWTH GROWING AT THE SITE OF FRACTURED BONE AND NEW BONE FORMED AT THE HUMEROUS'}, 'FEATURE_3': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'CHEST', 'DESCRIPTION': 'HEALED FRACTURES TO RIBS.'}}","{'CLOTHING_1': {'CATEGORY': 'OVERCOAT', 'SUBCATEGORY': 'MACKINTOSH', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': '3/4 LENGTH'}, 'CLOTHING_2': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BEIGE', 'PATTERN': 'DIAMOND', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHORT SLEEVED', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'CHECKED', 'DESCRIPTION': ""'MARKS AND SPENCER'""}, 'CLOTHING_5': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SLIPPERS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'DARK COLOUR'}}",,body found in some bushes behind manchester royal infirmary. it is possible that he may have been a rough sleeper.,,
03-000024,female,18,30,dark european,170,stocky,2002-12-15,,body,dark brown - short,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'BRA', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SIZE 34A, MAKE'}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'DARK', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_3': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'DENIM', 'COLOUR': 'RED', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'LEVI RED TAB'""}, 'CLOTHING_4': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'NIKE' WALKING SOCKS""}, 'CLOTHING_5': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'BOOTS', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'WALKING BOOTS'}, 'CLOTHING_6': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'KHAKI \'REGATTA\' WALKING TROUSERS 34"" WAIST, 33"" INSIDE LEG'}}",,decomposed body found in ruislip woods.,,racheal davis
03-000028,male,18,30,asian,175,stocky,2002-11-07,,body,black - collar length,goatee,brown,,"{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'BLAZER', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'POSSIBLY DARK BLUE'}, 'CLOTHING_2': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'DARK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'TRAINERS', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""WHITE/BLUE 'HI TEC'""}}",['�44.31 cash'],"male taken to hillingdon hospital following a head injury, where he died.","watch - 1 - gold square date face, 'lorus'",
03-000037,male,18,30,oriental,172,stocky,2002-11-03,,body,dark,moustache,unknown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT LIP', 'DESCRIPTION': '0.5"" SCAR'}, 'FEATURE_2': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'DEFORMED', 'LOCATION': 'BACK', 'DESCRIPTION': 'CURVATURE OF SPINE, WOULD HAVE CAUSED THE MALE TO WALK WITH A STOOP'}, 'FEATURE_3': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'BROKEN NOSE', 'LOCATION': 'NOSE', 'DESCRIPTION': 'CARTILAGE REMOVED'}}","{'CLOTHING_1': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SHORT'}, 'CLOTHING_2': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JEANS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': '\'MARKS & SPENCERS\', SIZE 34"" WAIST & 31"" LEG'}}",,male recovered from the sea at weymouth.,,
03-000044,male,18,30,dark european,172,,2002-09-24,,body,black - straight - short,clean shaven,unknown,"{'FEATURE_1': {'CATEGORY': 'PIERCED', 'SUBCATEGORY': 'EARS BOTH', 'LOCATION': 'L & R EAR', 'DESCRIPTION': '2 EARRINGS IN EACH EAR'}}","{'CLOTHING_1': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'DARK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'POLO', 'COLOUR': 'DARK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': '3 BUTTONS DOWN THE SIDE'}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JOGGING', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'PETROLEUM', SMALL ZIP POCKET""}, 'CLOTHING_4': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'BOXER SHORTS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_5': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'TRAINERS', 'COLOUR': 'MULTI', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""BLUE/WHITE/YELLOW, 'NEW BALANCE' MAKE WITH 'ABSORB' AND 'N' MARKINGS""}, 'CLOTHING_6': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'FLEECE', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'EQUINOX'""}}","['beige sleeping bag', ""green & blue 'jet flow' rucksack""]",decomposed body found in secluded area of lings wood nature reserve.,,
03-000163,male,18,30,white european,168,thin,2002-09-20,,body,dark brown - short,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'HOODED', 'COLOUR': 'GREY', 'PATTERN': 'FLECKED', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}","[""cash �17.85: 1 pack of 'richmond' cigarettes: 2 plastic lighters""]",male jumped off the platform at llanfairfechan station and sat in the path of the oncoming train. he was killed instantly.,,
03-000050,male,18,30,unknown,182,large,2002-07-20,,body,dark - thinning,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'BEIGE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SHORT'}, 'CLOTHING_2': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'WITH TURN'}, 'CLOTHING_3': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SHOES', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'CLARKS' LOAFERS SIZE 7""}, 'CLOTHING_4': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'VEST'}, 'CLOTHING_5': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}",,"male body found in the north sea, 15 miles off the coast of ramsgate.",,
08-035276,male,18,30,white european,,,2002-06-20,,body,black,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'BOXER SHORTS', 'COLOUR': 'GREY', 'PATTERN': 'CHECKED', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LABEL ON LEFT LEG'}}",,decomposed body found under cliff edge on the beach at redcliffe bay.,,
03-000031,male,18,30,afro caribbean,177,medium,2002-05-15,,body,black - afro,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'HEADWEAR', 'SUBCATEGORY': 'BERET', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'BOOTS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}",,"body found in the landing gear of inbound aircraft from jeddah. prior to jeddah the flight had been to accra, ghana.",,
03-000070,female,18,30,afro caribbean,160,medium,2002-04-10,,body,dark - greying,,brown,"{'FEATURE_1': {'CATEGORY': 'MARK', 'SUBCATEGORY': 'MOLE', 'LOCATION': 'RIGHT BUTTOCKS', 'DESCRIPTION': None}, 'FEATURE_2': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'SURGICAL', 'LOCATION': 'ABDOMEN', 'DESCRIPTION': 'TWO POST OPERATIVE SCARS'}, 'FEATURE_3': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT ARM', 'DESCRIPTION': '3 SCARS ON INSIDE OF RIGHT ARM'}, 'FEATURE_4': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT ARM', 'DESCRIPTION': 'TWO SCARS ON INNER UPPER ARM'}, 'FEATURE_5': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT ARM', 'DESCRIPTION': None}, 'FEATURE_6': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT FACE', 'DESCRIPTION': '2 VERY OLD SCARS ON BOTTOM OF RIGHT JAW BONE'}, 'FEATURE_7': {'CATEGORY': 'MARK', 'SUBCATEGORY': 'MOLE', 'LOCATION': 'RIGHT FACE', 'DESCRIPTION': 'PROMINENT MOLE BETWEEN NOSE/UPPER LIP'}, 'FEATURE_8': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT BROW', 'DESCRIPTION': 'SCAR ABOVE LEFT EYEBROW'}}","{'CLOTHING_1': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'MOCCASINS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'RIGHT SHOE MISSING, SIZE 7, WITH SMALL WEDGE'}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHORT SLEEVED', 'COLOUR': 'ORANGE', 'PATTERN': 'FLORAL', 'DESCRIPTION': 'ORANGE/BRONZE/GOLD ""TOM BOWKER FOR COTERIE"" WITH ORANGE SHOULDER PADS.'}, 'CLOTHING_3': {'CATEGORY': 'DRESS', 'SUBCATEGORY': 'SKIRT', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'BLACK/PINK ""VIVA YOU USA/ACT/F1"" ON LABEL IN PINK/BLUE LETTERS.'}, 'CLOTHING_4': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'RUGBY', 'COLOUR': 'MULTI', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'BLUE, WHITE AND RED'}, 'CLOTHING_5': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'KNICKERS', 'COLOUR': 'WHITE', 'PATTERN': 'PAISLEY', 'DESCRIPTION': 'WHITE/CREAM COTTON TYPE MATERIAL WITH BLUE & RED LEAF/PAISLEY DESIGN TO FRONT'}}",,"female found on grass area to the side of the m45, near byfield. she was found to have ingested a quantity of cocaine, and it is possible she had acted as a drug courier into the country.",,
03-000067,male,18,30,unknown,172,,2002-03-02,1999-01-01,body,dark,,unknown,"{'FEATURE_1': {'CATEGORY': 'MARK', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'FACE', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'SHORTS', 'COLOUR': 'BLUE', 'PATTERN': 'STRIPED', 'DESCRIPTION': 'BLUE AND WHITE STRIPED 32"" WAIST \'ADIDAS\' SHORTS'}}",,decomposed human remains were found on moorland at halse lane near the village of winsford. the man was wrapped in black bin liners and bedding and alongside him were a number of items including underwear and a distinctive gold pendant featuring a verse from the quran.the results of radiocarbon dating and other forensics suggest that he died in late 1999 to june 2000. police believe the his body may have been there only a few months but believe he was deceased for longer and possibly kept elsewhere.the cause of death is unclear but there is evidence that he was subjected to violence around the time of his death.,"pendant - 1 - small gold 22ct pendant with arabic script of the 'belief of faith' chapter 2, verse 255 of the qur'an referred to as surahal-bagarah or 'the throne'",
03-000056,male,18,30,afro caribbean,182,medium,2002-01-31,,body,unknown - cropped,,brown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT ABDOMEN', 'DESCRIPTION': None}, 'FEATURE_2': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT FOOT', 'DESCRIPTION': None}, 'FEATURE_3': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT FOOT', 'DESCRIPTION': None}, 'FEATURE_4': {'CATEGORY': 'LACKING', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'TEETH', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'BELT', 'SUBCATEGORY': 'BELT', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LEATHER BELT WITH SILVER BUCKLE'}, 'CLOTHING_2': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'VEST', 'COLOUR': 'MULTI', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'TURQUOISE/GREY/RED'}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BEIGE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'CHINO'}}",,male found in the street in newham. he had packets of drugs in his stomach. believed he died elsewhere and was moved after death.,,
03-000058,male,18,30,white european,175,thin,2001-12-23,,body,grey - collar length,full beard,blue,,"{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'NAVY BLUE'}, 'CLOTHING_2': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'CREW NECK', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BEIGE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'TIGHT FITTING'}, 'CLOTHING_5': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SHOES', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LACE UP'}, 'CLOTHING_6': {'CATEGORY': 'SCARF', 'SUBCATEGORY': 'LONG', 'COLOUR': 'RED', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'WOOL'}, 'CLOTHING_7': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}",,"male found on a park bench in croydon. believed to have been sleeping rough, and died as a result of hypothermia.",,
04-005877,male,18,30,white european,173,stocky,2001-12-20,,body,brown - short,full beard,unknown,,"{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BEIGE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BEIGE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'THICK'}, 'CLOTHING_4': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'BOOTS', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_5': {'CATEGORY': 'HEADWEAR', 'SUBCATEGORY': 'BASEBALL', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_6': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'RED', 'PATTERN': 'STRIPED', 'DESCRIPTION': 'RED AND WHITE'}, 'CLOTHING_7': {'CATEGORY': 'GLOVES', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}","['white blanket', 'black bin bag', 'various keys on key ring with address in spain - may not belong to unident', '�8.95']",struck by train at penge west railway station at 04.43 hours.,watch - 1 - 'calypso' make,
03-000084,male,18,30,white european,175,medium,2001-12-04,,body,,,unknown,,,,found washed ashore on aberffraw beach.,,
04-005881,male,18,30,white european,,medium,2001-10-27,,body,dark brown - short,unknown,unknown,,"{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'CHECKED', 'DESCRIPTION': 'LIGHT BLUE PADDED'}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SHOES', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_5': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'KNEE LENGTH FOOTBALL'}, 'CLOTHING_6': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'VEST', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LIGHT BLUE'}, 'CLOTHING_7': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNDERPANTS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'BOXERS'}}",,struck by train whilst standing on railway track outside canterbury east railway station.,,
04-006085,male,18,30,unknown,182,,2001-10-25,,body,black,unknown,unknown,,"{'CLOTHING_1': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SWEATSHIRT', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'LOW ALPINE' 'MADE IN IRELAND' FLEECE""}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LONG SLEEVED LIGHT COLOURED'}, 'CLOTHING_3': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNDERPANTS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'DARK BRIEF TYPE'}, 'CLOTHING_4': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JEANS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': '\'LEVI 501\' 32"" W / 34"" L'}, 'CLOTHING_5': {'CATEGORY': 'BELT', 'SUBCATEGORY': 'BELT', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""LEATHER, 'LEVI' LEATHER BELT WITH WHITE METAL BUCKLE""}, 'CLOTHING_6': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'TRAINERS', 'COLOUR': 'MULTI', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'NIKE' BLUE/WHITE TRAINERS""}, 'CLOTHING_7': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""PRINTED AROUND TOP AND 'MADE IN SWEDEN' ON UNDERSIDE""}}","['black bum bag', ""'aiwa' personal cd player"", '�260 in scottish bank notes']","remains found at the base of cliffs at dover. believed to have been in the water for a number of months, possibly up to 1 year.",watch - 1 - 'casio',
03-000065,female,18,30,afro caribbean,170,,2001-10-16,,body,black - shoulder length,,unknown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT ARM', 'DESCRIPTION': None}, 'FEATURE_2': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT ARM', 'DESCRIPTION': None}, 'FEATURE_3': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT BREAST', 'DESCRIPTION': None}, 'FEATURE_4': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT LEG', 'DESCRIPTION': None}}",,,"female attended mayday hospital stating she was suffering from various diseases. she was admitted under the name 'kaabwche annah' and subsequently died. believed to have been an illegal immigrant, and name given is believed to be false.",,
03-000093,male,18,30,white european,185,medium,2001-10-12,,body,,,unknown,,,,body found north of trevose head. believed to have been in the water between 2 weeks and 2 months.,,
12-004386,male,18,30,white european,152,,2001-09-24,,remains,,,unknown,,,,human remains of a male found. believed to have been born between 1930 and 1936 and died between 1960 and 1976. he was no taller than 165cm.,,
04-005710,female,18,30,unknown,170,,2001-07-20,,body,brown - greying - short,,unknown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'SURGICAL', 'LOCATION': 'ABDOMEN', 'DESCRIPTION': 'HYSTERECTOMY'}, 'FEATURE_2': {'CATEGORY': 'LACKING', 'SUBCATEGORY': 'UPPER TEETH', 'LOCATION': 'TEETH', 'DESCRIPTION': 'ALL MISSING'}}","{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'SKI', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""DARK BLUE WITH DARK RED LINING ' CARDA' OR 'C AND A' KOREAN MAKE""}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'GREY', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'TRACKSUIT', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'INTERIOR WAIST LINE LABEL CUT OFF'}}","[""small torch with the word 'mallory' on the outside. appears to have been printed by the manufacturer - contained 2aa batteries with tesco emblem on them""]",female remains found in the sea off the guernsey coast. believed to have been in the water 3 to 6 months. evidence she had undergone a hysterectomy operation in the past.,"earring - 2 - yellow stud (one in each ear)

ring - 1 - metal band type 'fidelity' inside

ring - 1 - metal band type (photo shows possibly fish",
04-005883,male,18,30,unknown,175,,2001-06-05,,body,,,unknown,"{'FEATURE_1': {'CATEGORY': 'LACKING', 'SUBCATEGORY': 'FALSE TEETH', 'LOCATION': 'TEETH', 'DESCRIPTION': 'UPPER TEETH'}, 'FEATURE_2': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'DEFORMED', 'LOCATION': 'BACK', 'DESCRIPTION': 'CURVATURE OF SPINE'}}","{'CLOTHING_1': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SLIP', 'COLOUR': 'ON', 'PATTERN': 'BLACK', 'DESCRIPTION': 'UNKNOWN'}}",,skeletal remains found on a disused railway line at normanton road. believed to have been dead for up to 20 years.,,
